"","X","Dataset","Fold","Repeat","Method","MethodType","AUC","Popt","ACC"
"1",1,"bugzilla","Fold-11","Rep-1","EALR","EALR",0.570995819617505,0.642153815826215,0.378698224852071
"3",3,"bugzilla","Fold-11","Rep-1","NaiveBayes","R-non-EA",0.683987317486924,0.339976679249669,0.100591715976331
"4",4,"bugzilla","Fold-11","Rep-1","NaiveBayes","R-ad",0.683987317486924,0.421569109060357,0.27810650887574
"5",5,"bugzilla","Fold-11","Rep-1","NaiveBayes","R-ee",0.683987317486924,0.887439781096175,0.692307692307692
"6",6,"bugzilla","Fold-11","Rep-1","NaiveBayes","R-dd",0.683987317486924,0.501473321633477,0.36094674556213
"7",7,"bugzilla","Fold-11","Rep-1","SimpleLogistic","R-non-EA",0.727063432760466,0.454760551373221,0.136094674556213
"8",8,"bugzilla","Fold-11","Rep-1","SimpleLogistic","R-ad",0.727063432760466,0.504174701635962,0.153846153846154
"9",9,"bugzilla","Fold-11","Rep-1","SimpleLogistic","R-ee",0.727063432760466,0.925590695625302,0.757396449704142
"10",10,"bugzilla","Fold-11","Rep-1","SimpleLogistic","R-dd",0.727063432760466,0.694401518401366,0.57396449704142
"11",11,"bugzilla","Fold-11","Rep-1","LMT","R-non-EA",0.775208514247632,0.510569216816786,0.106508875739645
"12",12,"bugzilla","Fold-11","Rep-1","LMT","R-ad",0.775208514247632,0.543084907014743,0.159763313609467
"13",13,"bugzilla","Fold-11","Rep-1","LMT","R-ee",0.775208514247632,0.935123130439628,0.78698224852071
"14",14,"bugzilla","Fold-11","Rep-1","LMT","R-dd",0.775208514247632,0.780238109593531,0.662721893491124
"15",15,"bugzilla","Fold-11","Rep-1","RBFNetwork","R-non-EA",0.596370943312398,0.290109467833794,0.100591715976331
"16",16,"bugzilla","Fold-11","Rep-1","RBFNetwork","R-ad",0.596370943312398,0.531106360837243,0.396449704142012
"17",17,"bugzilla","Fold-11","Rep-1","RBFNetwork","R-ee",0.596370943312398,0.915694322658959,0.751479289940828
"18",18,"bugzilla","Fold-11","Rep-1","RBFNetwork","R-dd",0.596370943312398,0.492084926388334,0.396449704142012
"19",19,"bugzilla","Fold-11","Rep-1","JRip","R-non-EA",0.724417876688814,0.443901976250056,0.130177514792899
"20",20,"bugzilla","Fold-11","Rep-1","JRip","R-ad",0.724417876688814,0.556411001994469,0.284023668639053
"21",21,"bugzilla","Fold-11","Rep-1","JRip","R-ee",0.724417876688814,0.92513135167928,0.763313609467456
"22",22,"bugzilla","Fold-11","Rep-1","JRip","R-dd",0.724417876688814,0.762521952218158,0.627218934911243
"23",23,"bugzilla","Fold-11","Rep-1","Logistic","R-non-EA",0.735080881313488,0.44181538149613,0.118343195266272
"24",24,"bugzilla","Fold-11","Rep-1","Logistic","R-ad",0.735080881313488,0.488629607575692,0.159763313609467
"25",25,"bugzilla","Fold-11","Rep-1","Logistic","R-ee",0.735080881313488,0.925984186351395,0.763313609467456
"26",26,"bugzilla","Fold-11","Rep-1","Logistic","R-dd",0.735080881313488,0.733029229517958,0.615384615384615
"27",27,"bugzilla","Fold-11","Rep-1","RandomForest","R-non-EA",0.782933134075166,0.51630124328751,0.118343195266272
"28",28,"bugzilla","Fold-11","Rep-1","RandomForest","R-ad",0.782933134075166,0.556784480576727,0.224852071005917
"29",29,"bugzilla","Fold-11","Rep-1","RandomForest","R-ee",0.782933134075166,0.934123696571445,0.775147928994083
"30",30,"bugzilla","Fold-11","Rep-1","RandomForest","R-dd",0.782933134075166,0.71687726148078,0.585798816568047
"31",31,"bugzilla","Fold-11","Rep-1","SMO","R-non-EA",0.663226770604035,0.524127310471955,0.218934911242604
"32",32,"bugzilla","Fold-11","Rep-1","SMO","R-ad",0.663226770604035,0.749193995724194,0.627218934911243
"33",33,"bugzilla","Fold-11","Rep-1","SMO","R-ee",0.663226770604035,0.749193995724194,0.627218934911243
"34",34,"bugzilla","Fold-11","Rep-1","SMO","R-dd",0.663226770604035,0.749193995724194,0.627218934911243
"35",35,"bugzilla","Fold-11","Rep-1","J48","R-non-EA",0.749712220045641,0.467938883789105,0.100591715976331
"36",36,"bugzilla","Fold-11","Rep-1","J48","R-ad",0.749712220045641,0.522025823614936,0.14792899408284
"37",37,"bugzilla","Fold-11","Rep-1","J48","R-ee",0.749712220045641,0.915391118249701,0.769230769230769
"38",38,"bugzilla","Fold-11","Rep-1","J48","R-dd",0.749712220045641,0.754899960208706,0.633136094674556
"39",39,"bugzilla","Fold-11","Rep-1","Ridor","R-non-EA",0.665478522527617,0.537881335482331,0.224852071005917
"40",40,"bugzilla","Fold-11","Rep-1","Ridor","R-ad",0.665478522527617,0.648962066591078,0.49112426035503
"41",41,"bugzilla","Fold-11","Rep-1","Ridor","R-ee",0.665478522527617,0.648962066591078,0.49112426035503
"42",42,"bugzilla","Fold-11","Rep-1","Ridor","R-dd",0.665478522527617,0.644040523890115,0.49112426035503
"43",43,"bugzilla","Fold-11","Rep-1","IBk","R-non-EA",0.744713936627825,0.491639311359168,0.14792899408284
"44",44,"bugzilla","Fold-11","Rep-1","IBk","R-ad",0.744713936627825,0.549476164191289,0.218934911242604
"45",45,"bugzilla","Fold-11","Rep-1","IBk","R-ee",0.744713936627825,0.924532622101532,0.763313609467456
"46",46,"bugzilla","Fold-11","Rep-1","IBk","R-dd",0.744713936627825,0.682180967012536,0.556213017751479
"47",47,"bugzilla","Fold-11","Rep-1","NS.UP","R-unsup",0.41116182321223,0.318711658526609,0
"48",48,"bugzilla","Fold-11","Rep-1","ND.UP","R-unsup",0.40250822949694,0.338127668008618,0
"49",49,"bugzilla","Fold-11","Rep-1","NF.UP","R-unsup",0.643072076256639,0.660692324732978,0.254437869822485
"50",50,"bugzilla","Fold-11","Rep-1","Entropy.UP","R-unsup",0.390047862350304,0.561638307974586,0.207100591715976
