"","X","Dataset","Fold","Repeat","Method","MethodType","AUC","Popt","ACC"
"1",1,"bugzilla","Fold-11","Rep-1","EALR","EALR",0.620798595875384,0.65444503215033,0.325581395348837
"3",3,"bugzilla","Fold-11","Rep-1","NaiveBayes","R-non-EA",0.675208424747696,0.503153554671409,0.162790697674419
"4",4,"bugzilla","Fold-11","Rep-1","NaiveBayes","R-ad",0.675208424747696,0.623094158296339,0.255813953488372
"5",5,"bugzilla","Fold-11","Rep-1","NaiveBayes","R-ee",0.675208424747696,0.718822020619027,0.37984496124031
"6",6,"bugzilla","Fold-11","Rep-1","NaiveBayes","R-dd",0.675208424747696,0.465748081373168,0.255813953488372
"7",7,"bugzilla","Fold-11","Rep-1","SimpleLogistic","R-non-EA",0.706040661108673,0.567215846652511,0.217054263565891
"8",8,"bugzilla","Fold-11","Rep-1","SimpleLogistic","R-ad",0.706040661108673,0.768489328393576,0.457364341085271
"9",9,"bugzilla","Fold-11","Rep-1","SimpleLogistic","R-ee",0.706040661108673,0.787041312892137,0.503875968992248
"10",10,"bugzilla","Fold-11","Rep-1","SimpleLogistic","R-dd",0.706040661108673,0.642852163595527,0.426356589147287
"11",11,"bugzilla","Fold-11","Rep-1","LMT","R-non-EA",0.706040661108673,0.567215846652511,0.217054263565891
"12",12,"bugzilla","Fold-11","Rep-1","LMT","R-ad",0.706040661108673,0.768489328393576,0.457364341085271
"13",13,"bugzilla","Fold-11","Rep-1","LMT","R-ee",0.706040661108673,0.787041312892137,0.503875968992248
"14",14,"bugzilla","Fold-11","Rep-1","LMT","R-dd",0.706040661108673,0.642852163595527,0.426356589147287
"15",15,"bugzilla","Fold-11","Rep-1","RBFNetwork","R-non-EA",0.567046950416849,0.40175739827047,0.162790697674419
"16",16,"bugzilla","Fold-11","Rep-1","RBFNetwork","R-ad",0.567046950416849,0.737635937744759,0.403100775193798
"17",17,"bugzilla","Fold-11","Rep-1","RBFNetwork","R-ee",0.567046950416849,0.765862466207543,0.472868217054264
"18",18,"bugzilla","Fold-11","Rep-1","RBFNetwork","R-dd",0.567046950416849,0.466760007700024,0.255813953488372
"19",19,"bugzilla","Fold-11","Rep-1","JRip","R-non-EA",0.668772853590756,0.523363816176031,0.193798449612403
"20",20,"bugzilla","Fold-11","Rep-1","JRip","R-ad",0.668772853590756,0.776473558772691,0.48062015503876
"21",21,"bugzilla","Fold-11","Rep-1","JRip","R-ee",0.668772853590756,0.79311475543849,0.496124031007752
"22",22,"bugzilla","Fold-11","Rep-1","JRip","R-dd",0.668772853590756,0.737905406157428,0.48062015503876
"23",23,"bugzilla","Fold-11","Rep-1","Logistic","R-non-EA",0.725756910925845,0.563933210262272,0.193798449612403
"24",24,"bugzilla","Fold-11","Rep-1","Logistic","R-ad",0.725756910925845,0.764822272939814,0.434108527131783
"25",25,"bugzilla","Fold-11","Rep-1","Logistic","R-ee",0.725756910925845,0.794705195040198,0.511627906976744
"26",26,"bugzilla","Fold-11","Rep-1","Logistic","R-dd",0.725756910925845,0.655865876269877,0.426356589147287
"27",27,"bugzilla","Fold-11","Rep-1","RandomForest","R-non-EA",0.742109112183706,0.557529995515045,0.178294573643411
"28",28,"bugzilla","Fold-11","Rep-1","RandomForest","R-ad",0.742109112183706,0.754746349602069,0.403100775193798
"29",29,"bugzilla","Fold-11","Rep-1","RandomForest","R-ee",0.742109112183706,0.815674872338371,0.496124031007752
"30",30,"bugzilla","Fold-11","Rep-1","RandomForest","R-dd",0.742109112183706,0.649560650600276,0.418604651162791
"31",31,"bugzilla","Fold-11","Rep-1","SMO","R-non-EA",0.654497586660816,0.538650124643022,0.193798449612403
"32",32,"bugzilla","Fold-11","Rep-1","SMO","R-ad",0.654497586660816,0.665282256539377,0.434108527131783
"33",33,"bugzilla","Fold-11","Rep-1","SMO","R-ee",0.654497586660816,0.665282256539377,0.434108527131783
"34",34,"bugzilla","Fold-11","Rep-1","SMO","R-dd",0.654497586660816,0.661217591231565,0.434108527131783
"35",35,"bugzilla","Fold-11","Rep-1","J48","R-non-EA",0.685183560040954,0.503319382813396,0.13953488372093
